,country,framework,users,type
0,United States of America,Node.js,4267,have used
1,United States of America,React.js,3972,have used
2,United States of America,jQuery,2376,have used
3,India,Node.js,2343,have used
4,India,React.js,2290,have used
5,United States of America,Express,1904,have used
6,United States of America,ASP.NET Core,1876,have used
7,Germany,Node.js,1592,have used
8,United States of America,Angular,1502,have used
9,United States of America,ASP.NET,1496,have used
10,United States of America,Vue.js,1462,have used
11,India,jQuery,1458,have used
12,India,Express,1429,have used
13,United States of America,Flask,1225,have used
14,United Kingdom of Great Britain and Northern Ireland,Node.js,1215,have used
15,Germany,React.js,1171,have used
16,United Kingdom of Great Britain and Northern Ireland,React.js,1137,have used
17,India,Angular,1107,have used
18,United States of America,Next.js,1100,have used
19,United States of America,Django,1039,have used
20,India,Django,1000,have used
21,India,Flask,845,have used
22,Germany,Vue.js,834,have used
23,Canada,Node.js,824,have used
24,Canada,React.js,808,have used
25,United States of America,Ruby on Rails,804,have used
26,Germany,jQuery,796,have used
27,Germany,Angular,780,have used
28,France,Node.js,775,have used
29,India,Next.js,763,have used
30,Brazil,Node.js,760,have used
31,United States of America,Angular.js,724,have used
32,United Kingdom of Great Britain and Northern Ireland,jQuery,710,have used
33,United Kingdom of Great Britain and Northern Ireland,ASP.NET Core,685,have used
34,Brazil,React.js,670,have used
35,Germany,Express,660,have used
36,France,React.js,613,have used
37,India,Angular.js,582,have used
38,Germany,ASP.NET Core,523,have used
39,India,Vue.js,520,have used
40,United Kingdom of Great Britain and Northern Ireland,Express,506,have used
41,India,ASP.NET,505,have used
42,United States of America,Svelte,499,have used
43,Italy,Node.js,493,have used
44,United Kingdom of Great Britain and Northern Ireland,ASP.NET,486,have used
45,Poland,Node.js,480,have used
46,Spain,Node.js,471,have used
47,India,ASP.NET Core,470,have used
48,India,Laravel,466,have used
49,Poland,React.js,461,have used
50,Netherlands,Node.js,456,have used
51,United Kingdom of Great Britain and Northern Ireland,Vue.js,455,have used
52,Germany,Flask,448,have used
53,United States of America,FastAPI,447,have used
54,United States of America,Blazor,446,have used
55,Brazil,jQuery,440,have used
56,Brazil,Express,437,have used
57,France,Vue.js,437,have used
58,Canada,jQuery,431,have used
59,Australia,React.js,425,have used
60,Australia,Node.js,424,have used
61,France,jQuery,419,have used
62,France,Express,414,have used
63,Spain,React.js,400,have used
64,United States of America,Laravel,397,have used
65,Italy,jQuery,393,have used
66,United Kingdom of Great Britain and Northern Ireland,Flask,392,have used
67,France,Angular,384,have used
68,Canada,Express,383,have used
69,United States of America,Gatsby,381,have used
70,United Kingdom of Great Britain and Northern Ireland,Angular,366,have used
71,United Kingdom of Great Britain and Northern Ireland,Next.js,365,have used
72,Brazil,Angular,358,have used
73,Netherlands,React.js,356,have used
