,framework,have used,want to use
0,Node.js,22836,20948
1,React.js,20823,21910
2,jQuery,13779,5937
3,Express,11603,9333
4,Angular,9850,8402
5,Vue.js,9295,12666
6,ASP.NET Core,9177,8894
7,ASP.NET,7206,3848
8,Django,6988,7200
9,Flask,6895,5437
10,Next.js,6782,10348
11,Laravel,4676,3808
12,Angular.js,4286,2773
13,FastAPI,2928,4571
14,Ruby on Rails,2785,3272
15,Svelte,2340,6741
16,Blazor,2179,3880
17,Nuxt.js,1950,3805
18,Symfony,1754,1433
19,Gatsby,1747,1569
20,Drupal,1070,600
21,Phoenix,1069,1862
22,Fastify,929,1452
23,Deno,874,3717
24,Play Framework,364,371
