,framework,total posts,unanswered posts,unsolved posts,answered posts,solved posts
0,Node.js,446823,86743,174210,360080,272613
1,React.js,424124,85670,173271,338454,250853
2,jQuery,1030603,101046,278193,929557,752410
3,Express,89495,17320,36176,72175,53319
4,Angular,286350,51845,111456,234505,174894
5,Vue.js,98848,18909,37254,79939,61594
6,ASP.NET Core,73556,13878,26751,59678,46805
7,ASP.NET,370740,43590,112937,327150,257803
8,Django,299417,48808,102954,250609,196463
9,Flask,51963,10046,20078,41917,31885
10,Next.js,23488,7321,11882,16167,11606
11,Laravel,199430,31106,74885,168324,124545
12,Angular.js,262592,37781,90975,224811,171617
13,FastAPI,3989,1164,1855,2825,2134
14,Ruby on Rails,334767,34549,89112,300218,245655
15,Svelte,3878,621,1155,3257,2723
16,Blazor,9897,2061,3607,7836,6290
17,Nuxt.js,10741,2942,5122,7799,5619
18,Symfony,72118,10677,24086,61441,48032
19,Gatsby,5630,823,1958,4807,3672
20,Drupal,20224,1768,6794,18456,13430
21,Phoenix,937,250,453,687,484
22,Fastify,534,136,238,398,296
23,Deno,733,92,196,641,537
24,Play Framework,17219,2258,5019,14961,12200
